"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","Consent","Consent2","Q01[SQ001]","Q02","Q02[other]","G02Q40","G02Q41","Q03","Q04","Q05","Q06","Q07","Q07[other]","Q08","Q09","Q09[other]","Q010p","Q010p[other]","Q010[SQ001]","Q010[SQ002]","Q010[SQ003]","Q010[other]","Q011[SQ002]","Q011[SQ003]","Q011[SQ004]","Q011[SQ005]","Q011[SQ006]","Q010np","Q011np[SQ001]","Q012np","Q013p[SQ001]","Q014[SQ001]","Q014[SQ002]","Q015[SQ002]","Q015[SQ003]","Q015[SQ004]","Q015[SQ005]","Q015[SQ006]","Q015[SQ007]","Q015[SQ008]","Q015[SQ009]","Q015[SQ010]","OSQ01[SQ001]","OSQ03[SQ001]","OSQ02","OSQ04[SQ001]","OSQ04[SQ002]","OSQ04[SQ003]","OSQ04[SQ004]","OSQ04[SQ005]","OSQ04[SQ006]","OSQ04[SQ007]","OSQ04[SQ008]","OSQ05[SQ001]","OSQ05[SQ002]","OSQ05[SQ003]","OSQ05[SQ004]","OSQ05[SQ005]","OSQ05[SQ006]","OSQ05[SQ007]","OSQ05[SQ008]","OSQ05[SQ009]","OSQ05[SQ010]","OSQ05[SQ011]","OSQ05[SQ012]","OSQ05[SQ013]","OSQ05[SQ014]","OSQ05[other]","SSQ01[SQ001]","SSQ03[SQ001]","SSQ02","SSQ04[SQ002]","SSQ04[SQ003]","SSQ04[SQ004]","SSQ04[SQ005]","SSQ04[SQ006]","SSQ04[SQ007]","SSQ04[other]","SSQ05[SQ001_SQ002]","SSQ05[SQ001_SQ003]","SSQ05[SQ001_SQ004]","SSQ05[SQ002_SQ002]","SSQ05[SQ002_SQ003]","SSQ05[SQ002_SQ004]","SSQ05[SQ003_SQ002]","SSQ05[SQ003_SQ003]","SSQ05[SQ003_SQ004]","SSQ05[SQ004_SQ002]","SSQ05[SQ004_SQ003]","SSQ05[SQ004_SQ004]","SSQ05[SQ005_SQ002]","SSQ05[SQ005_SQ003]","SSQ05[SQ005_SQ004]","SSQ05[SQ006_SQ002]","SSQ05[SQ006_SQ003]","SSQ05[SQ006_SQ004]","SSQ05[SQ007_SQ002]","SSQ05[SQ007_SQ003]","SSQ05[SQ007_SQ004]","SSQ05[SQ008_SQ002]","SSQ05[SQ008_SQ003]","SSQ05[SQ008_SQ004]","GSQ01[SQ001]","GSQ02[SQ001]","GSQ03[SQ001]","GSQ04[SQ001]","GSQ05[SQ001]","GSQ06[SQ001]","ESQ01[SQ001]","ESQ02[SQ001]","WBQ01[SQ001]","WBQ01[SQ003]","WBQ01[SQ004]","WBQ01[SQ005]","WBQ01[SQ006]","interviewtime","groupTime831","ConsentTime","Consent2Time","groupTime825","Q01Time","Q02Time","G02Q40Time","G02Q41Time","Q03Time","Q04Time","Q05Time","Q06Time","Q07Time","Q08Time","Q09Time","Q010pTime","Q010Time","Q011Time","Q010npTime","Q011npTime","Q012npTime","Q013pTime","Q014Time","Q015Time","groupTime826","OSQ01Time","OSQ03Time","OSQ02Time","OSQ04Time","OSQ05Time","groupTime827","SSQ01Time","SSQ03Time","SSQ02Time","SSQ04Time","SSQ05Time","groupTime828","GSQ01Time","GSQ02Time","GSQ03Time","GSQ04Time","GSQ05Time","GSQ06Time","groupTime829","ESQ01Time","ESQ02Time","groupTime830","WBQ01Time"
"67","2025-03-18 09:23:28","7","en","1654916977","2025-03-18 09:13:07","2025-03-18 09:23:28","Yes, I am involved in research","Yes, I agree to participate in the study","30","Female","","I have no children",,"United Kingdom ","","Life Sciences","Psychology ","PhD","","2020","Permanent position","","Other","Lecturer ","No","No","Yes","","20","60","20","0","0",,,"Yes","50","50","50","No","No","Yes","Yes","No","Yes","No","No","No","94","100","No","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","","64","67","No","Yes","Yes","No","Yes","No","No","","","1","","1","1","","","1","","1","1","","1","1","","1","1","","","1","","","1","","71","60","75","59","94","97","79","100","70","85","22","76","62","623.86","67.86",,,"177.21",,,,,,,,,,,,,,,,,,,,,"136.6",,,,,,"156.36",,,,,,"42.65",,,,,,,"17.01",,,"26.17",
"68","2025-03-18 09:27:41","7","en","268261399","2025-03-18 09:17:26","2025-03-18 09:27:41","Yes, I am involved in research","Yes, I agree to participate in the study","23","Female","","I have no children",,"United Kingdom ","University of Sussex","Life Sciences","Psychology ","PhD","","2024","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","65","25","10","0","0","No",,"No",,,,"No","No","Yes","Yes","No","Yes","No","No","No","65","75","Yes","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, and I don't plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","","0","0","No","No","No","No","No","No","No","Have never heard of it","","1","","1","","","","1","","1","1","","1","1","","1","","","","","1","","","1","58","68","0","24","56","90","70","90","78","66","74","61","95","617.83","20.19",,,"170.42",,,,,,,,,,,,,,,,,,,,,"172.81",,,,,,"142.16",,,,,,"49.63",,,,,,,"36.6",,,"26.02",
"71","2025-03-18 09:58:58","7","en","117646847","2025-03-18 09:48:45","2025-03-18 09:58:58","Yes, I am involved in research","Yes, I agree to participate in the study","24","Female","","I have no children",,"United Kingdom","University of Sussex","Life Sciences","PhD student ","Master","","1st ","PhD candidate (scholarship, other funding)","",,,"No","No","No","Model ","80","0","10","2","8","Yes","46","Yes",,"72","43","No","Yes","Yes","Yes","No","No","No","No","No","100","99","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","","20","0","No","No","Yes","No","Yes","No","Yes","","1","1","","","1","","","1","","1","","","1","","","1","","","","1","","1","1","","66","30","0","0","25","78","75","73","88","100","76","91","70","616.18","60.76",,,"146.74",,,,,,,,,,,,,,,,,,,,,"96.72",,,,,,"158.85",,,,,,"33.3",,,,,,,"96.44",,,"23.37",
"73","2025-03-18 10:54:14","7","en","2052452046","2025-03-18 09:59:37","2025-03-18 10:54:14","Yes, I am involved in research","Yes, I agree to participate in the study","37","Female","","I have no children",,"United Kingdom","University of Sussex","Social Sciences & Humanities","Cognitive and developmental psychology, vision science and neuroaesthetics","Master","","2023","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","80","0","10","5","5","Yes","80","No",,,,"Yes","No","Yes","No","No","Yes","No","No","No","70","100","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","","10","75","No","Yes","No","No","Yes","Yes","No","","","1","","1","","","","1","","1","1","","","1","","1","1","","1","","","","1","","55","20","5","15","70","60","96","80","80","90","55","53","65","3279.37","1336.36",,,"1156.13",,,,,,,,,,,,,,,,,,,,,"222.51",,,,,,"267.01",,,,,,"147.77",,,,,,,"47.26",,,"102.33",
"74","2025-03-18 10:07:19","7","en","1248528584","2025-03-18 10:00:31","2025-03-18 10:07:19","Yes, I am involved in research","Yes, I agree to participate in the study","29","Male","","I have no children",,"United Kingdom","University of Sussex","Life Sciences","Neuroimaging","PhD","","2019","Postdoc (fixed term)","",,,"No","Yes","No","","70","0","10","10","10","I don't know","55","Yes",,"80","70","No","No","Yes","No","No","No","Yes","Yes","No","90","100","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I am not familiar with it","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","","65","80","No","Yes","Yes","No","Yes","No","No","","","1","","","1","","","1","","1","","","","1","","1","","","1","","","1","","","85","70","90","90","60","80","55","80","70","81","80","90","75","411","47.14",,,"116.72",,,,,,,,,,,,,,,,,,,,,"111.05",,,,,,"62.57",,,,,,"36.33",,,,,,,"14.29",,,"22.9",
"77","2025-03-18 11:25:11","7","en","1597504013","2025-03-18 11:10:21","2025-03-18 11:25:11","Yes, I am involved in research","Yes, I agree to participate in the study","25","Male","","I have no children",,"UK","University of Sussex","Social Sciences & Humanities","Psychology","Master","","2022","PhD candidate (scholarship, other funding)","",,,"No","No","No","Doctoral Tutor","80","5","0","0","15","Yes","0","Yes",,"80","80","No","No","Yes","Yes","No","Yes","No","No","No","100","100","Yes","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","50","100","No","Yes","Yes","No","No","No","Yes","","","","1","","","1","","1","","1","","","","1","","1","","","","","1","","1","","100","25","0","50","50","100","50","100","100","100","10","85","100","892.62","58.99",,,"183.42",,,,,,,,,,,,,,,,,,,,,"101.44",,,,,,"140.08",,,,,,"65.68",,,,,,,"314.17",,,"28.84",
"78","2025-03-18 12:06:25","7","en","1114142674","2025-03-18 11:46:19","2025-03-18 12:06:25","Yes, I am involved in research","Yes, I agree to participate in the study","25","Female","","I have no children",,"United Kingdom","University of Sussex","Social Sciences & Humanities","Psychology","Master","","2024","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","60","20","10","0","10","Yes","50","Yes",,"25","50","No","No","Yes","Yes","No","No","Yes","No","No","75","100","Yes","I know it and I used it","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I am not familiar with it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","","0","50","No","Yes","Yes","No","No","No","No","","1","","","1","","","","1","","1","","","","1","","1","","","","1","","","","1","50","30","0","0","40","50","49","100","70","85","35","25","100","1208.28","54.1",,,"811.11",,,,,,,,,,,,,,,,,,,,,"155.21",,,,,,"99.13",,,,,,"39.35",,,,,,,"17.47",,,"31.91",
"80","2025-03-18 13:21:59","7","en","934926379","2025-03-18 13:12:20","2025-03-18 13:21:59","Yes, I am involved in research","Yes, I agree to participate in the study","37","Female","","I have no children",,"UK","University of Sussex","Social Sciences & Humanities","Psychology","Master","","2022","PhD candidate (scholarship, other funding)","",,,"No","No","Yes","","40","40","20","0","0","Yes","42","Yes",,"28","61","Yes","No","Yes","No","No","Yes","No","No","No","65","82","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I haven't used it yet, and I don't plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","No","","0","0","No","No","No","No","No","No","No","I'm not aware of this","","1","","","1","","","1","","","1","","","1","","","1","","","1","","","1","","100","98","32","74","46","87","40","90","70","70","35","40","70","580.77","19.81",,,"180.09",,,,,,,,,,,,,,,,,,,,,"199.8",,,,,,"83.61",,,,,,"36.17",,,,,,,"27.18",,,"34.11",
"83","2025-03-18 14:15:31","7","en","762169175","2025-03-18 14:05:53","2025-03-18 14:15:31","Yes, I am involved in research","Yes, I agree to participate in the study","61","Male","","2","Between 2 weeks and 1 month","uk","Sussex","Social Sciences & Humanities","Psychology","PhD","","1987","Permanent position","","Full Professor/Directeur de recherche","","No","No","No","editorial","60","20","20","0","0",,,"Yes","100","100","73","No","No","Yes","Yes","No","Yes","No","No","No","99","99","Yes","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","","90","90","Yes","Yes","No","No","No","No","No","","","1","","1","","","1","","","1","","","1","","","1","","","","1","","1","","","14","13","1","53","32","46","40","53","79","98","30","65","0","580.93","34.78",,,"247.81",,,,,,,,,,,,,,,,,,,,,"90.41",,,,,,"90.88",,,,,,"53.19",,,,,,,"33.71",,,"30.15",
"84","2025-03-18 14:49:32","7","en","1511159577","2025-03-18 14:20:48","2025-03-18 14:49:32","Yes, I am involved in research","Yes, I agree to participate in the study","34","Male","","1","Between 2 weeks and 1 month","United Kingdom","University of Sussex","Life Sciences","Psychology","PhD","","2014","Permanent position","","Assistant Professor/Lecturer/Maître de conférences or Chargé de recherche","","No","No","Yes","","20","55","20","0","5",,,"Yes","50","40","60","No","No","Yes","Yes","No","Yes","No","No","No","90","90","Yes","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I know it and I used it","I know it and I used it","I know it and I used it","I know it and I used it","I haven't used it yet, but I plan to do it in the future","I haven't used it yet, but I plan to do it in the future","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","","40","60","No","Yes","Yes","No","Yes","No","No","","","1","","1","1","","","1","","1","1","","","1","","1","1","","1","1","","","1","","55","50","10","40","60","70","50","75","80","80","20","55","45","1727.24","904.2",,,"271.51",,,,,,,,,,,,,,,,,,,,,"99.3",,,,,,"127.52",,,,,,"122.57",,,,,,,"22.6",,,"179.54",
